"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"25/04/2018 09:00:00 - 25/04/2018 10:00:00","BZN|FR","Without Sequence","41.46","",""
"25/04/2018 10:00:00 - 25/04/2018 11:00:00","BZN|FR","Without Sequence","34.31","",""
"25/04/2018 11:00:00 - 25/04/2018 12:00:00","BZN|FR","Without Sequence","30.15","",""
"25/04/2018 12:00:00 - 25/04/2018 13:00:00","BZN|FR","Without Sequence","31.15","",""
"25/04/2018 13:00:00 - 25/04/2018 14:00:00","BZN|FR","Without Sequence","25.35","",""
"25/04/2018 14:00:00 - 25/04/2018 15:00:00","BZN|FR","Without Sequence","22.07","",""
"25/04/2018 15:00:00 - 25/04/2018 16:00:00","BZN|FR","Without Sequence","21.28","",""
"25/04/2018 16:00:00 - 25/04/2018 17:00:00","BZN|FR","Without Sequence","23.09","",""
"25/04/2018 17:00:00 - 25/04/2018 18:00:00","BZN|FR","Without Sequence","23.19","",""
"25/04/2018 18:00:00 - 25/04/2018 19:00:00","BZN|FR","Without Sequence","30.05","",""
"25/04/2018 19:00:00 - 25/04/2018 20:00:00","BZN|FR","Without Sequence","34.48","",""
"25/04/2018 20:00:00 - 25/04/2018 21:00:00","BZN|FR","Without Sequence","27.85","",""
"25/04/2018 21:00:00 - 25/04/2018 22:00:00","BZN|FR","Without Sequence","34.07","",""
"25/04/2018 22:00:00 - 25/04/2018 23:00:00","BZN|FR","Without Sequence","36.93","",""
"25/04/2018 23:00:00 - 26/04/2018 00:00:00","BZN|FR","Without Sequence","36.93","",""
"26/04/2018 00:00:00 - 26/04/2018 01:00:00","BZN|FR","Without Sequence","25.03","",""
"26/04/2018 01:00:00 - 26/04/2018 02:00:00","BZN|FR","Without Sequence","23.08","",""
"26/04/2018 02:00:00 - 26/04/2018 03:00:00","BZN|FR","Without Sequence","21.59","",""
"26/04/2018 03:00:00 - 26/04/2018 04:00:00","BZN|FR","Without Sequence","11.08","",""
"26/04/2018 04:00:00 - 26/04/2018 05:00:00","BZN|FR","Without Sequence","12.63","",""
"26/04/2018 05:00:00 - 26/04/2018 06:00:00","BZN|FR","Without Sequence","22.06","",""
"26/04/2018 06:00:00 - 26/04/2018 07:00:00","BZN|FR","Without Sequence","35.70","",""
"26/04/2018 07:00:00 - 26/04/2018 08:00:00","BZN|FR","Without Sequence","44.50","",""
"26/04/2018 08:00:00 - 26/04/2018 09:00:00","BZN|FR","Without Sequence","45.21","",""
"26/04/2018 09:00:00 - 26/04/2018 10:00:00","BZN|FR","Without Sequence","40.07","",""
"26/04/2018 10:00:00 - 26/04/2018 11:00:00","BZN|FR","Without Sequence","36.04","",""
"26/04/2018 11:00:00 - 26/04/2018 12:00:00","BZN|FR","Without Sequence","35.12","",""
"26/04/2018 12:00:00 - 26/04/2018 13:00:00","BZN|FR","Without Sequence","30.86","",""
"26/04/2018 13:00:00 - 26/04/2018 14:00:00","BZN|FR","Without Sequence","28.57","",""
"26/04/2018 14:00:00 - 26/04/2018 15:00:00","BZN|FR","Without Sequence","26.10","",""
"26/04/2018 15:00:00 - 26/04/2018 16:00:00","BZN|FR","Without Sequence","24.92","",""
"26/04/2018 16:00:00 - 26/04/2018 17:00:00","BZN|FR","Without Sequence","25.65","",""
"26/04/2018 17:00:00 - 26/04/2018 18:00:00","BZN|FR","Without Sequence","29.71","",""
"26/04/2018 18:00:00 - 26/04/2018 19:00:00","BZN|FR","Without Sequence","35.98","",""
"26/04/2018 19:00:00 - 26/04/2018 20:00:00","BZN|FR","Without Sequence","41.57","",""
"26/04/2018 20:00:00 - 26/04/2018 21:00:00","BZN|FR","Without Sequence","42.00","",""
"26/04/2018 21:00:00 - 26/04/2018 22:00:00","BZN|FR","Without Sequence","40.98","",""
"26/04/2018 22:00:00 - 26/04/2018 23:00:00","BZN|FR","Without Sequence","41.73","",""
"26/04/2018 23:00:00 - 27/04/2018 00:00:00","BZN|FR","Without Sequence","41.73","",""
"27/04/2018 00:00:00 - 27/04/2018 01:00:00","BZN|FR","Without Sequence","35.19","",""
"27/04/2018 01:00:00 - 27/04/2018 02:00:00","BZN|FR","Without Sequence","33.21","",""
"27/04/2018 02:00:00 - 27/04/2018 03:00:00","BZN|FR","Without Sequence","32.61","",""
"27/04/2018 03:00:00 - 27/04/2018 04:00:00","BZN|FR","Without Sequence","31.01","",""
"27/04/2018 04:00:00 - 27/04/2018 05:00:00","BZN|FR","Without Sequence","29.65","",""
"27/04/2018 05:00:00 - 27/04/2018 06:00:00","BZN|FR","Without Sequence","35.55","",""
"27/04/2018 06:00:00 - 27/04/2018 07:00:00","BZN|FR","Without Sequence","44.48","",""
"27/04/2018 07:00:00 - 27/04/2018 08:00:00","BZN|FR","Without Sequence","49.12","",""
"27/04/2018 08:00:00 - 27/04/2018 09:00:00","BZN|FR","Without Sequence","54.08","",""
"27/04/2018 09:00:00 - 27/04/2018 10:00:00","BZN|FR","Without Sequence","45.63","",""
"27/04/2018 10:00:00 - 27/04/2018 11:00:00","BZN|FR","Without Sequence","44.99","",""
"27/04/2018 11:00:00 - 27/04/2018 12:00:00","BZN|FR","Without Sequence","40.17","",""
"27/04/2018 12:00:00 - 27/04/2018 13:00:00","BZN|FR","Without Sequence","37.66","",""
"27/04/2018 13:00:00 - 27/04/2018 14:00:00","BZN|FR","Without Sequence","35.13","",""
"27/04/2018 14:00:00 - 27/04/2018 15:00:00","BZN|FR","Without Sequence","33.63","",""
"27/04/2018 15:00:00 - 27/04/2018 16:00:00","BZN|FR","Without Sequence","28.82","",""
"27/04/2018 16:00:00 - 27/04/2018 17:00:00","BZN|FR","Without Sequence","21.73","",""
"27/04/2018 17:00:00 - 27/04/2018 18:00:00","BZN|FR","Without Sequence","18.26","",""
"27/04/2018 18:00:00 - 27/04/2018 19:00:00","BZN|FR","Without Sequence","24.27","",""
"27/04/2018 19:00:00 - 27/04/2018 20:00:00","BZN|FR","Without Sequence","44.01","",""
"27/04/2018 20:00:00 - 27/04/2018 21:00:00","BZN|FR","Without Sequence","39.74","",""
"27/04/2018 21:00:00 - 27/04/2018 22:00:00","BZN|FR","Without Sequence","45.86","",""
"27/04/2018 22:00:00 - 27/04/2018 23:00:00","BZN|FR","Without Sequence","40.56","",""
"27/04/2018 23:00:00 - 28/04/2018 00:00:00","BZN|FR","Without Sequence","40.56","",""
"28/04/2018 00:00:00 - 28/04/2018 01:00:00","BZN|FR","Without Sequence","18.57","",""
"28/04/2018 01:00:00 - 28/04/2018 02:00:00","BZN|FR","Without Sequence","11.72","",""
"28/04/2018 02:00:00 - 28/04/2018 03:00:00","BZN|FR","Without Sequence","15.51","",""
"28/04/2018 03:00:00 - 28/04/2018 04:00:00","BZN|FR","Without Sequence","14.48","",""
"28/04/2018 04:00:00 - 28/04/2018 05:00:00","BZN|FR","Without Sequence","10.42","",""
"28/04/2018 05:00:00 - 28/04/2018 06:00:00","BZN|FR","Without Sequence","14.30","",""
"28/04/2018 06:00:00 - 28/04/2018 07:00:00","BZN|FR","Without Sequence","21.45","",""
"28/04/2018 07:00:00 - 28/04/2018 08:00:00","BZN|FR","Without Sequence","17.10","",""
"28/04/2018 08:00:00 - 28/04/2018 09:00:00","BZN|FR","Without Sequence","23.45","",""
"28/04/2018 09:00:00 - 28/04/2018 10:00:00","BZN|FR","Without Sequence","20.26","",""
"28/04/2018 10:00:00 - 28/04/2018 11:00:00","BZN|FR","Without Sequence","21.01","",""
"28/04/2018 11:00:00 - 28/04/2018 12:00:00","BZN|FR","Without Sequence","23.27","",""
"28/04/2018 12:00:00 - 28/04/2018 13:00:00","BZN|FR","Without Sequence","26.40","",""
"28/04/2018 13:00:00 - 28/04/2018 14:00:00","BZN|FR","Without Sequence","20.40","",""
"28/04/2018 14:00:00 - 28/04/2018 15:00:00","BZN|FR","Without Sequence","23.33","",""
"28/04/2018 15:00:00 - 28/04/2018 16:00:00","BZN|FR","Without Sequence","23.88","",""
"28/04/2018 16:00:00 - 28/04/2018 17:00:00","BZN|FR","Without Sequence","15.73","",""
"28/04/2018 17:00:00 - 28/04/2018 18:00:00","BZN|FR","Without Sequence","17.56","",""
"28/04/2018 18:00:00 - 28/04/2018 19:00:00","BZN|FR","Without Sequence","17.80","",""
"28/04/2018 19:00:00 - 28/04/2018 20:00:00","BZN|FR","Without Sequence","28.17","",""
"28/04/2018 20:00:00 - 28/04/2018 21:00:00","BZN|FR","Without Sequence","28.89","",""
"28/04/2018 21:00:00 - 28/04/2018 22:00:00","BZN|FR","Without Sequence","38.66","",""
"28/04/2018 22:00:00 - 28/04/2018 23:00:00","BZN|FR","Without Sequence","38.98","",""
"28/04/2018 23:00:00 - 29/04/2018 00:00:00","BZN|FR","Without Sequence","38.98","",""
"29/04/2018 00:00:00 - 29/04/2018 01:00:00","BZN|FR","Without Sequence","45.13","",""
"29/04/2018 01:00:00 - 29/04/2018 02:00:00","BZN|FR","Without Sequence","24.60","",""
"29/04/2018 02:00:00 - 29/04/2018 03:00:00","BZN|FR","Without Sequence","16.40","",""
"29/04/2018 03:00:00 - 29/04/2018 04:00:00","BZN|FR","Without Sequence","12.06","",""
"29/04/2018 04:00:00 - 29/04/2018 05:00:00","BZN|FR","Without Sequence","6.32","",""
"29/04/2018 05:00:00 - 29/04/2018 06:00:00","BZN|FR","Without Sequence","5.86","",""
"29/04/2018 06:00:00 - 29/04/2018 07:00:00","BZN|FR","Without Sequence","5.90","",""
"29/04/2018 07:00:00 - 29/04/2018 08:00:00","BZN|FR","Without Sequence","5.89","",""
"29/04/2018 08:00:00 - 29/04/2018 09:00:00","BZN|FR","Without Sequence","12.04","",""
"29/04/2018 09:00:00 - 29/04/2018 10:00:00","BZN|FR","Without Sequence","14.23","",""
"29/04/2018 10:00:00 - 29/04/2018 11:00:00","BZN|FR","Without Sequence","11.05","",""
"29/04/2018 11:00:00 - 29/04/2018 12:00:00","BZN|FR","Without Sequence","16.92","",""
"29/04/2018 12:00:00 - 29/04/2018 13:00:00","BZN|FR","Without Sequence","22.45","",""
"29/04/2018 13:00:00 - 29/04/2018 14:00:00","BZN|FR","Without Sequence","12.84","",""
"29/04/2018 14:00:00 - 29/04/2018 15:00:00","BZN|FR","Without Sequence","7.59","",""
"29/04/2018 15:00:00 - 29/04/2018 16:00:00","BZN|FR","Without Sequence","5.09","",""
"29/04/2018 16:00:00 - 29/04/2018 17:00:00","BZN|FR","Without Sequence","5.00","",""
"29/04/2018 17:00:00 - 29/04/2018 18:00:00","BZN|FR","Without Sequence","6.37","",""
"29/04/2018 18:00:00 - 29/04/2018 19:00:00","BZN|FR","Without Sequence","8.00","",""
"29/04/2018 19:00:00 - 29/04/2018 20:00:00","BZN|FR","Without Sequence","14.00","",""
"29/04/2018 20:00:00 - 29/04/2018 21:00:00","BZN|FR","Without Sequence","14.86","",""
"29/04/2018 21:00:00 - 29/04/2018 22:00:00","BZN|FR","Without Sequence","22.35","",""
"29/04/2018 22:00:00 - 29/04/2018 23:00:00","BZN|FR","Without Sequence","21.55","",""
"29/04/2018 23:00:00 - 30/04/2018 00:00:00","BZN|FR","Without Sequence","21.55","",""
"30/04/2018 00:00:00 - 30/04/2018 01:00:00","BZN|FR","Without Sequence","17.66","",""
"30/04/2018 01:00:00 - 30/04/2018 02:00:00","BZN|FR","Without Sequence","9.13","",""
"30/04/2018 02:00:00 - 30/04/2018 03:00:00","BZN|FR","Without Sequence","8.12","",""
"30/04/2018 03:00:00 - 30/04/2018 04:00:00","BZN|FR","Without Sequence","3.34","",""
"30/04/2018 04:00:00 - 30/04/2018 05:00:00","BZN|FR","Without Sequence","6.17","",""
"30/04/2018 05:00:00 - 30/04/2018 06:00:00","BZN|FR","Without Sequence","8.59","",""
"30/04/2018 06:00:00 - 30/04/2018 07:00:00","BZN|FR","Without Sequence","10.83","",""
"30/04/2018 07:00:00 - 30/04/2018 08:00:00","BZN|FR","Without Sequence","22.98","",""
"30/04/2018 08:00:00 - 30/04/2018 09:00:00","BZN|FR","Without Sequence","26.03","",""
"30/04/2018 09:00:00 - 30/04/2018 10:00:00","BZN|FR","Without Sequence","19.11","",""
"30/04/2018 10:00:00 - 30/04/2018 11:00:00","BZN|FR","Without Sequence","16.55","",""
"30/04/2018 11:00:00 - 30/04/2018 12:00:00","BZN|FR","Without Sequence","16.69","",""
"30/04/2018 12:00:00 - 30/04/2018 13:00:00","BZN|FR","Without Sequence","9.94","",""
"30/04/2018 13:00:00 - 30/04/2018 14:00:00","BZN|FR","Without Sequence","10.26","",""
"30/04/2018 14:00:00 - 30/04/2018 15:00:00","BZN|FR","Without Sequence","8.19","",""
"30/04/2018 15:00:00 - 30/04/2018 16:00:00","BZN|FR","Without Sequence","8.25","",""
"30/04/2018 16:00:00 - 30/04/2018 17:00:00","BZN|FR","Without Sequence","8.07","",""
"30/04/2018 17:00:00 - 30/04/2018 18:00:00","BZN|FR","Without Sequence","16.34","",""
"30/04/2018 18:00:00 - 30/04/2018 19:00:00","BZN|FR","Without Sequence","28.09","",""
"30/04/2018 19:00:00 - 30/04/2018 20:00:00","BZN|FR","Without Sequence","33.81","",""
"30/04/2018 20:00:00 - 30/04/2018 21:00:00","BZN|FR","Without Sequence","34.43","",""
"30/04/2018 21:00:00 - 30/04/2018 22:00:00","BZN|FR","Without Sequence","32.64","",""
"30/04/2018 22:00:00 - 30/04/2018 23:00:00","BZN|FR","Without Sequence","31.44","",""
"30/04/2018 23:00:00 - 01/05/2018 00:00:00","BZN|FR","Without Sequence","31.44","",""
"01/05/2018 00:00:00 - 01/05/2018 01:00:00","BZN|FR","Without Sequence","16.88","",""
"01/05/2018 01:00:00 - 01/05/2018 02:00:00","BZN|FR","Without Sequence","12.74","",""
"01/05/2018 02:00:00 - 01/05/2018 03:00:00","BZN|FR","Without Sequence","10.22","",""
"01/05/2018 03:00:00 - 01/05/2018 04:00:00","BZN|FR","Without Sequence","2.53","",""
"01/05/2018 04:00:00 - 01/05/2018 05:00:00","BZN|FR","Without Sequence","1.59","",""
"01/05/2018 05:00:00 - 01/05/2018 06:00:00","BZN|FR","Without Sequence","3.27","",""
"01/05/2018 06:00:00 - 01/05/2018 07:00:00","BZN|FR","Without Sequence","2.48","",""
"01/05/2018 07:00:00 - 01/05/2018 08:00:00","BZN|FR","Without Sequence","3.67","",""
"01/05/2018 08:00:00 - 01/05/2018 09:00:00","BZN|FR","Without Sequence","13.14","",""
"01/05/2018 09:00:00 - 01/05/2018 10:00:00","BZN|FR","Without Sequence","14.97","",""
"01/05/2018 10:00:00 - 01/05/2018 11:00:00","BZN|FR","Without Sequence","11.22","",""
"01/05/2018 11:00:00 - 01/05/2018 12:00:00","BZN|FR","Without Sequence","11.00","",""
"01/05/2018 12:00:00 - 01/05/2018 13:00:00","BZN|FR","Without Sequence","10.24","",""
"01/05/2018 13:00:00 - 01/05/2018 14:00:00","BZN|FR","Without Sequence","5.83","",""
"01/05/2018 14:00:00 - 01/05/2018 15:00:00","BZN|FR","Without Sequence","-4.05","",""
"01/05/2018 15:00:00 - 01/05/2018 16:00:00","BZN|FR","Without Sequence","-7.17","",""
"01/05/2018 16:00:00 - 01/05/2018 17:00:00","BZN|FR","Without Sequence","0.97","",""
"01/05/2018 17:00:00 - 01/05/2018 18:00:00","BZN|FR","Without Sequence","3.94","",""
"01/05/2018 18:00:00 - 01/05/2018 19:00:00","BZN|FR","Without Sequence","15.40","",""
"01/05/2018 19:00:00 - 01/05/2018 20:00:00","BZN|FR","Without Sequence","26.08","",""
"01/05/2018 20:00:00 - 01/05/2018 21:00:00","BZN|FR","Without Sequence","31.35","",""
"01/05/2018 21:00:00 - 01/05/2018 22:00:00","BZN|FR","Without Sequence","33.77","",""
"01/05/2018 22:00:00 - 01/05/2018 23:00:00","BZN|FR","Without Sequence","33.59","",""
"01/05/2018 23:00:00 - 02/05/2018 00:00:00","BZN|FR","Without Sequence","33.59","",""
"02/05/2018 00:00:00 - 02/05/2018 01:00:00","BZN|FR","Without Sequence","33.74","",""
"02/05/2018 01:00:00 - 02/05/2018 02:00:00","BZN|FR","Without Sequence","29.25","",""
"02/05/2018 02:00:00 - 02/05/2018 03:00:00","BZN|FR","Without Sequence","28.18","",""
"02/05/2018 03:00:00 - 02/05/2018 04:00:00","BZN|FR","Without Sequence","27.68","",""
"02/05/2018 04:00:00 - 02/05/2018 05:00:00","BZN|FR","Without Sequence","26.30","",""
"02/05/2018 05:00:00 - 02/05/2018 06:00:00","BZN|FR","Without Sequence","29.55","",""
"02/05/2018 06:00:00 - 02/05/2018 07:00:00","BZN|FR","Without Sequence","44.68","",""
"02/05/2018 07:00:00 - 02/05/2018 08:00:00","BZN|FR","Without Sequence","48.32","",""
"02/05/2018 08:00:00 - 02/05/2018 09:00:00","BZN|FR","Without Sequence","50.23","",""
"02/05/2018 09:00:00 - 02/05/2018 10:00:00","BZN|FR","Without Sequence","51.73","",""
"02/05/2018 10:00:00 - 02/05/2018 11:00:00","BZN|FR","Without Sequence","44.98","",""
"02/05/2018 11:00:00 - 02/05/2018 12:00:00","BZN|FR","Without Sequence","40.90","",""
"02/05/2018 12:00:00 - 02/05/2018 13:00:00","BZN|FR","Without Sequence","38.10","",""
"02/05/2018 13:00:00 - 02/05/2018 14:00:00","BZN|FR","Without Sequence","37.62","",""
"02/05/2018 14:00:00 - 02/05/2018 15:00:00","BZN|FR","Without Sequence","36.88","",""
"02/05/2018 15:00:00 - 02/05/2018 16:00:00","BZN|FR","Without Sequence","37.37","",""
"02/05/2018 16:00:00 - 02/05/2018 17:00:00","BZN|FR","Without Sequence","38.93","",""
"02/05/2018 17:00:00 - 02/05/2018 18:00:00","BZN|FR","Without Sequence","44.53","",""
"02/05/2018 18:00:00 - 02/05/2018 19:00:00","BZN|FR","Without Sequence","47.00","",""
"02/05/2018 19:00:00 - 02/05/2018 20:00:00","BZN|FR","Without Sequence","48.18","",""
"02/05/2018 20:00:00 - 02/05/2018 21:00:00","BZN|FR","Without Sequence","48.23","",""
"02/05/2018 21:00:00 - 02/05/2018 22:00:00","BZN|FR","Without Sequence","46.14","",""
"02/05/2018 22:00:00 - 02/05/2018 23:00:00","BZN|FR","Without Sequence","46.16","",""
"02/05/2018 23:00:00 - 03/05/2018 00:00:00","BZN|FR","Without Sequence","46.16","",""
"03/05/2018 00:00:00 - 03/05/2018 01:00:00","BZN|FR","Without Sequence","35.95","",""
"03/05/2018 01:00:00 - 03/05/2018 02:00:00","BZN|FR","Without Sequence","32.12","",""
"03/05/2018 02:00:00 - 03/05/2018 03:00:00","BZN|FR","Without Sequence","29.77","",""
"03/05/2018 03:00:00 - 03/05/2018 04:00:00","BZN|FR","Without Sequence","28.01","",""
"03/05/2018 04:00:00 - 03/05/2018 05:00:00","BZN|FR","Without Sequence","25.65","",""
"03/05/2018 05:00:00 - 03/05/2018 06:00:00","BZN|FR","Without Sequence","29.01","",""
"03/05/2018 06:00:00 - 03/05/2018 07:00:00","BZN|FR","Without Sequence","40.56","",""
"03/05/2018 07:00:00 - 03/05/2018 08:00:00","BZN|FR","Without Sequence","49.91","",""
"03/05/2018 08:00:00 - 03/05/2018 09:00:00","BZN|FR","Without Sequence","56.73","",""
"03/05/2018 09:00:00 - 03/05/2018 10:00:00","BZN|FR","Without Sequence","52.46","",""
"03/05/2018 10:00:00 - 03/05/2018 11:00:00","BZN|FR","Without Sequence","49.74","",""
"03/05/2018 11:00:00 - 03/05/2018 12:00:00","BZN|FR","Without Sequence","48.77","",""
"03/05/2018 12:00:00 - 03/05/2018 13:00:00","BZN|FR","Without Sequence","40.09","",""
"03/05/2018 13:00:00 - 03/05/2018 14:00:00","BZN|FR","Without Sequence","37.61","",""
"03/05/2018 14:00:00 - 03/05/2018 15:00:00","BZN|FR","Without Sequence","37.32","",""
"03/05/2018 15:00:00 - 03/05/2018 16:00:00","BZN|FR","Without Sequence","36.69","",""
"03/05/2018 16:00:00 - 03/05/2018 17:00:00","BZN|FR","Without Sequence","36.49","",""
"03/05/2018 17:00:00 - 03/05/2018 18:00:00","BZN|FR","Without Sequence","39.68","",""
"03/05/2018 18:00:00 - 03/05/2018 19:00:00","BZN|FR","Without Sequence","37.02","",""
"03/05/2018 19:00:00 - 03/05/2018 20:00:00","BZN|FR","Without Sequence","40.00","",""
"03/05/2018 20:00:00 - 03/05/2018 21:00:00","BZN|FR","Without Sequence","41.51","",""
"03/05/2018 21:00:00 - 03/05/2018 22:00:00","BZN|FR","Without Sequence","45.99","",""
"03/05/2018 22:00:00 - 03/05/2018 23:00:00","BZN|FR","Without Sequence","46.70","",""
"03/05/2018 23:00:00 - 04/05/2018 00:00:00","BZN|FR","Without Sequence","46.70","",""
"04/05/2018 00:00:00 - 04/05/2018 01:00:00","BZN|FR","Without Sequence","36.61","",""
"04/05/2018 01:00:00 - 04/05/2018 02:00:00","BZN|FR","Without Sequence","34.65","",""
"04/05/2018 02:00:00 - 04/05/2018 03:00:00","BZN|FR","Without Sequence","30.34","",""
"04/05/2018 03:00:00 - 04/05/2018 04:00:00","BZN|FR","Without Sequence","28.48","",""
"04/05/2018 04:00:00 - 04/05/2018 05:00:00","BZN|FR","Without Sequence","27.52","",""
"04/05/2018 05:00:00 - 04/05/2018 06:00:00","BZN|FR","Without Sequence","33.59","",""
"04/05/2018 06:00:00 - 04/05/2018 07:00:00","BZN|FR","Without Sequence","36.07","",""
"04/05/2018 07:00:00 - 04/05/2018 08:00:00","BZN|FR","Without Sequence","47.51","",""
"04/05/2018 08:00:00 - 04/05/2018 09:00:00","BZN|FR","Without Sequence","50.64","",""
"04/05/2018 09:00:00 - 04/05/2018 10:00:00","BZN|FR","Without Sequence","49.69","",""
"04/05/2018 10:00:00 - 04/05/2018 11:00:00","BZN|FR","Without Sequence","45.56","",""
"04/05/2018 11:00:00 - 04/05/2018 12:00:00","BZN|FR","Without Sequence","42.56","",""
"04/05/2018 12:00:00 - 04/05/2018 13:00:00","BZN|FR","Without Sequence","39.30","",""
"04/05/2018 13:00:00 - 04/05/2018 14:00:00","BZN|FR","Without Sequence","36.72","",""
"04/05/2018 14:00:00 - 04/05/2018 15:00:00","BZN|FR","Without Sequence","36.49","",""
"04/05/2018 15:00:00 - 04/05/2018 16:00:00","BZN|FR","Without Sequence","34.94","",""
"04/05/2018 16:00:00 - 04/05/2018 17:00:00","BZN|FR","Without Sequence","24.10","",""
"04/05/2018 17:00:00 - 04/05/2018 18:00:00","BZN|FR","Without Sequence","25.85","",""
"04/05/2018 18:00:00 - 04/05/2018 19:00:00","BZN|FR","Without Sequence","34.21","",""
"04/05/2018 19:00:00 - 04/05/2018 20:00:00","BZN|FR","Without Sequence","39.17","",""
"04/05/2018 20:00:00 - 04/05/2018 21:00:00","BZN|FR","Without Sequence","32.05","",""
"04/05/2018 21:00:00 - 04/05/2018 22:00:00","BZN|FR","Without Sequence","28.73","",""
"04/05/2018 22:00:00 - 04/05/2018 23:00:00","BZN|FR","Without Sequence","40.09","",""
"04/05/2018 23:00:00 - 05/05/2018 00:00:00","BZN|FR","Without Sequence","40.09","",""
"05/05/2018 00:00:00 - 05/05/2018 01:00:00","BZN|FR","Without Sequence","33.59","",""
"05/05/2018 01:00:00 - 05/05/2018 02:00:00","BZN|FR","Without Sequence","28.63","",""
"05/05/2018 02:00:00 - 05/05/2018 03:00:00","BZN|FR","Without Sequence","27.54","",""
"05/05/2018 03:00:00 - 05/05/2018 04:00:00","BZN|FR","Without Sequence","24.87","",""
"05/05/2018 04:00:00 - 05/05/2018 05:00:00","BZN|FR","Without Sequence","22.92","",""
"05/05/2018 05:00:00 - 05/05/2018 06:00:00","BZN|FR","Without Sequence","25.64","",""
"05/05/2018 06:00:00 - 05/05/2018 07:00:00","BZN|FR","Without Sequence","26.55","",""
"05/05/2018 07:00:00 - 05/05/2018 08:00:00","BZN|FR","Without Sequence","28.78","",""
"05/05/2018 08:00:00 - 05/05/2018 09:00:00","BZN|FR","Without Sequence","34.95","",""
"05/05/2018 09:00:00 - 05/05/2018 10:00:00","BZN|FR","Without Sequence","31.96","",""
"05/05/2018 10:00:00 - 05/05/2018 11:00:00","BZN|FR","Without Sequence","24.65","",""
"05/05/2018 11:00:00 - 05/05/2018 12:00:00","BZN|FR","Without Sequence","22.68","",""
"05/05/2018 12:00:00 - 05/05/2018 13:00:00","BZN|FR","Without Sequence","21.62","",""
"05/05/2018 13:00:00 - 05/05/2018 14:00:00","BZN|FR","Without Sequence","19.34","",""
"05/05/2018 14:00:00 - 05/05/2018 15:00:00","BZN|FR","Without Sequence","17.87","",""
"05/05/2018 15:00:00 - 05/05/2018 16:00:00","BZN|FR","Without Sequence","17.75","",""
"05/05/2018 16:00:00 - 05/05/2018 17:00:00","BZN|FR","Without Sequence","18.16","",""
"05/05/2018 17:00:00 - 05/05/2018 18:00:00","BZN|FR","Without Sequence","23.31","",""
"05/05/2018 18:00:00 - 05/05/2018 19:00:00","BZN|FR","Without Sequence","29.45","",""
"05/05/2018 19:00:00 - 05/05/2018 20:00:00","BZN|FR","Without Sequence","31.80","",""
"05/05/2018 20:00:00 - 05/05/2018 21:00:00","BZN|FR","Without Sequence","36.70","",""
"05/05/2018 21:00:00 - 05/05/2018 22:00:00","BZN|FR","Without Sequence","37.95","",""
"05/05/2018 22:00:00 - 05/05/2018 23:00:00","BZN|FR","Without Sequence","40.41","",""
"05/05/2018 23:00:00 - 06/05/2018 00:00:00","BZN|FR","Without Sequence","40.41","",""
"06/05/2018 00:00:00 - 06/05/2018 01:00:00","BZN|FR","Without Sequence","32.36","",""
"06/05/2018 01:00:00 - 06/05/2018 02:00:00","BZN|FR","Without Sequence","21.88","",""
"06/05/2018 02:00:00 - 06/05/2018 03:00:00","BZN|FR","Without Sequence","25.57","",""
"06/05/2018 03:00:00 - 06/05/2018 04:00:00","BZN|FR","Without Sequence","23.91","",""
"06/05/2018 04:00:00 - 06/05/2018 05:00:00","BZN|FR","Without Sequence","21.67","",""
"06/05/2018 05:00:00 - 06/05/2018 06:00:00","BZN|FR","Without Sequence","18.13","",""
"06/05/2018 06:00:00 - 06/05/2018 07:00:00","BZN|FR","Without Sequence","16.00","",""
"06/05/2018 07:00:00 - 06/05/2018 08:00:00","BZN|FR","Without Sequence","13.69","",""
"06/05/2018 08:00:00 - 06/05/2018 09:00:00","BZN|FR","Without Sequence","16.12","",""
"06/05/2018 09:00:00 - 06/05/2018 10:00:00","BZN|FR","Without Sequence","18.38","",""
"06/05/2018 10:00:00 - 06/05/2018 11:00:00","BZN|FR","Without Sequence","16.87","",""
"06/05/2018 11:00:00 - 06/05/2018 12:00:00","BZN|FR","Without Sequence","17.95","",""
"06/05/2018 12:00:00 - 06/05/2018 13:00:00","BZN|FR","Without Sequence","21.30","",""
"06/05/2018 13:00:00 - 06/05/2018 14:00:00","BZN|FR","Without Sequence","16.36","",""
"06/05/2018 14:00:00 - 06/05/2018 15:00:00","BZN|FR","Without Sequence","10.33","",""
"06/05/2018 15:00:00 - 06/05/2018 16:00:00","BZN|FR","Without Sequence","5.00","",""
"06/05/2018 16:00:00 - 06/05/2018 17:00:00","BZN|FR","Without Sequence","8.53","",""
"06/05/2018 17:00:00 - 06/05/2018 18:00:00","BZN|FR","Without Sequence","20.13","",""
"06/05/2018 18:00:00 - 06/05/2018 19:00:00","BZN|FR","Without Sequence","25.41","",""
"06/05/2018 19:00:00 - 06/05/2018 20:00:00","BZN|FR","Without Sequence","30.98","",""
"06/05/2018 20:00:00 - 06/05/2018 21:00:00","BZN|FR","Without Sequence","31.49","",""
"06/05/2018 21:00:00 - 06/05/2018 22:00:00","BZN|FR","Without Sequence","30.07","",""
"06/05/2018 22:00:00 - 06/05/2018 23:00:00","BZN|FR","Without Sequence","30.50","",""
