"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|FR","Without Sequence","12.25","",""
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|FR","Without Sequence","19.42","",""
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|FR","Without Sequence","22.57","",""
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|FR","Without Sequence","22.37","",""
"03/01/2018 10:00:00 - 03/01/2018 11:00:00","BZN|FR","Without Sequence","18.65","",""
"03/01/2018 11:00:00 - 03/01/2018 12:00:00","BZN|FR","Without Sequence","19.35","",""
"03/01/2018 12:00:00 - 03/01/2018 13:00:00","BZN|FR","Without Sequence","18.93","",""
"03/01/2018 13:00:00 - 03/01/2018 14:00:00","BZN|FR","Without Sequence","17.26","",""
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|FR","Without Sequence","16.76","",""
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|FR","Without Sequence","18.09","",""
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|FR","Without Sequence","19.51","",""
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|FR","Without Sequence","24.13","",""
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|FR","Without Sequence","36.67","",""
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|FR","Without Sequence","26.27","",""
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|FR","Without Sequence","26.06","",""
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|FR","Without Sequence","19.88","",""
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|FR","Without Sequence","17.26","",""
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|FR","Without Sequence","17.26","",""
"04/01/2018 00:00:00 - 04/01/2018 01:00:00","BZN|FR","Without Sequence","11.76","",""
"04/01/2018 01:00:00 - 04/01/2018 02:00:00","BZN|FR","Without Sequence","3.46","",""
"04/01/2018 02:00:00 - 04/01/2018 03:00:00","BZN|FR","Without Sequence","2.11","",""
"04/01/2018 03:00:00 - 04/01/2018 04:00:00","BZN|FR","Without Sequence","2.63","",""
"04/01/2018 04:00:00 - 04/01/2018 05:00:00","BZN|FR","Without Sequence","4.99","",""
"04/01/2018 05:00:00 - 04/01/2018 06:00:00","BZN|FR","Without Sequence","11.08","",""
"04/01/2018 06:00:00 - 04/01/2018 07:00:00","BZN|FR","Without Sequence","22.34","",""
"04/01/2018 07:00:00 - 04/01/2018 08:00:00","BZN|FR","Without Sequence","33.59","",""
"04/01/2018 08:00:00 - 04/01/2018 09:00:00","BZN|FR","Without Sequence","40.45","",""
"04/01/2018 09:00:00 - 04/01/2018 10:00:00","BZN|FR","Without Sequence","41.97","",""
"04/01/2018 10:00:00 - 04/01/2018 11:00:00","BZN|FR","Without Sequence","44.91","",""
"04/01/2018 11:00:00 - 04/01/2018 12:00:00","BZN|FR","Without Sequence","47.14","",""
"04/01/2018 12:00:00 - 04/01/2018 13:00:00","BZN|FR","Without Sequence","46.04","",""
"04/01/2018 13:00:00 - 04/01/2018 14:00:00","BZN|FR","Without Sequence","34.36","",""
"04/01/2018 14:00:00 - 04/01/2018 15:00:00","BZN|FR","Without Sequence","32.51","",""
"04/01/2018 15:00:00 - 04/01/2018 16:00:00","BZN|FR","Without Sequence","32.77","",""
"04/01/2018 16:00:00 - 04/01/2018 17:00:00","BZN|FR","Without Sequence","33.81","",""
"04/01/2018 17:00:00 - 04/01/2018 18:00:00","BZN|FR","Without Sequence","50.08","",""
"04/01/2018 18:00:00 - 04/01/2018 19:00:00","BZN|FR","Without Sequence","49.96","",""
"04/01/2018 19:00:00 - 04/01/2018 20:00:00","BZN|FR","Without Sequence","46.73","",""
"04/01/2018 20:00:00 - 04/01/2018 21:00:00","BZN|FR","Without Sequence","41.57","",""
